type,title,director,cast,country,release_year,rating,duration,genre
Movie,BluffMaster!,Rohan Sippy,"Abhishek Bachchan, Priyanka Chopra, Riteish Deshmukh, Boman Irani, Nana Patekar, Sanjay Mishra, Tinnu Anand, Hussain Shaikh",India,2005,TV-14,129 min,"Comedies, International Movies, Romantic Movies"
Movie,Blurred Lines: Inside the Art World,Barry Avrich,,Canada,2017,TV-MA,85 min,Documentaries
TV Show,BNA,,"Sumire Morohoshi, Yoshimasa Hosoya, Maria Naganawa, Kaito Ishikawa, Gara Takashima, Michiyo Murase",Japan,2020,TV-14,1 Season,"Anime Series, International TV Shows"
Movie,BNK48: Girls Don't Cry,Nawapol Thamrongrattanarit,,Thailand,2018,TV-14,108 min,"Documentaries, International Movies, Music & Musicals"
Movie,Bo Burnham: Make Happy,"Bo Burnham, Christopher Storer",Bo Burnham,United States,2016,TV-MA,60 min,"Music & Musicals, Stand-Up Comedy"
Movie,Bo Burnham: what.,"Bo Burnham, Christopher Storer",Bo Burnham,United States,2013,TV-MA,60 min,Stand-Up Comedy
TV Show,Bo on the Go!,,"Catherine O'Connor, Andrew Sabiston, Jim Fowler",Canada,2007,TV-Y,1 Season,Kids' TV
Movie,Bob Lazar: Area 51 & Flying Saucers,Jeremy Kenyon Lockyer Corbell,Robert Lazar,United States,2018,TV-MA,97 min,Documentaries
TV Show,Bob Ross: Beauty Is Everywhere,,Bob Ross,,1991,TV-G,1 Season,TV Shows
Movie,Bob's Broken Sleigh,Jay Surridge,"Cole Howard, Bruce Greenwood, Victor Garber, Michael Adamthwaite, Raini Rodriguez, Colin Murdock, Maryke Hendrikse, Sam Vincent, Gabe Khouth",Canada,2015,TV-G,47 min,Children & Family Movies
Movie,Bobbi Jene,Elvira Lind,Bobbi Jene Smith,"Denmark, Sweden, Israel, United States",2017,TV-MA,99 min,Documentaries
Movie,Bobbleheads The Movie,Kirk Wise,"Jennifer Coolidge, Karen Fukuhara, Khary Payton, Julian Sands, Brenda Song, Luke Wilson, Cher",United States,2020,PG,83 min,"Children & Family Movies, Comedies"
Movie,Bobby,Raj Kapoor,"Rishi Kapoor, Dimple Kapadia, Pran, Prem Nath, Sonia Sahni, Durga Khote, Aruna Irani, Prem Chopra, Farida Jalal",India,1973,TV-14,168 min,"Classic Movies, Dramas, International Movies"
Movie,Bobby Jasoos,Samar Shaikh,"Vidya Balan, Ali Fazal, Supriya Pathak, Tanvi Azmi, Zarina Wahab, Kiran Kumar, Rajendra Gupta, Arjan Bajwa, Prasad Barve, Aakash Dahiya",India,2014,TV-14,116 min,"Comedies, Dramas, International Movies"
TV Show,Bobby Kennedy for President,Dawn Porter,Robert F. Kennedy,,2018,TV-MA,1 Season,Docuseries
Movie,Bobby Robson: More Than a Manager,"Gabriel Clarke, Torquil Jones",Bobby Robson,United Kingdom,2018,TV-14,99 min,"Documentaries, International Movies, Sports Movies"
Movie,Bobby Sands: 66 Days,Brendan Byrne,,"Ireland, United Kingdom",2016,TV-14,106 min,Documentaries
TV Show,Boca Juniors Confidential,,,,2018,TV-PG,1 Season,"Docuseries, International TV Shows, Spanish-Language TV Shows"
Movie,Bodyguard,Siddique,"Salman Khan, Kareena Kapoor, Raj Babbar, Asrani, Vidya Sinha, Hazel Keech, Chetan Hansraj, Salim Baig",India,2011,TV-14,130 min,"Action & Adventure, Comedies, International Movies"
Movie,Bogda,Nisheeta Keni,"Suhas Joshi, Mrunmayee Deshpande, Rohit Kokate, Ajinkya Bhosale, Jayant Gadekar, Vivekanand Walake, Pallavi Malvade, Nirmala Tikam",India,2018,TV-PG,161 min,"Dramas, International Movies"
Movie,Boi,Jorge M. Fontana,"Bernat Quintana, Adrian Pang, Andrew Lua, Rachel Lascar, Fina Rius, Miranda Gas",Spain,2018,TV-MA,111 min,"Dramas, Independent Movies, International Movies"
TV Show,BoJack Horseman,,"Will Arnett, Aaron Paul, Amy Sedaris, Alison Brie, Paul F. Tompkins",United States,2020,TV-MA,6 Seasons,TV Comedies
Movie,BoJack Horseman Christmas Special: Sabrina's Christmas Wish,,"Will Arnett, Aaron Paul, Alison Brie, Adam Conover, Kristen Schaal, Fred Savage",United States,2014,TV-MA,26 min,Movies
Movie,Bokeh,"Geoffrey Orthwein, Andrew Sullivan","Maika Monroe, Matt O'Leary, Arnar Jónsson, Gunnar Helgason, Berglind Rós Sigurðardóttir","United States, Iceland",2017,TV-14,92 min,"Dramas, Independent Movies, Sci-Fi & Fantasy"
TV Show,Bolívar,"Luis Alberto Restrepo, Andrés Beltrán, Jaime Rayo","Luis Gerónimo Abreu, José Ramón Barreto, Ernesto Benjumea, Félix Antequera, Jefferson Quiñones, Shany Nadan, María José Vargas, Hans Martínez, Mauro Mauad, Álvaro Bayona, Rosmeri Marval, Irene Esser, Nohely Arteaga",Colombia,2019,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, Spanish-Language TV Shows"
Movie,Bollywood Calling,Nagesh Kukunoor,"Om Puri, Pat Cusick, Navin Nischol, Perizaad Zorabian",India,2001,TV-MA,102 min,"Comedies, Dramas, International Movies"
Movie,Bolt,"Byron Howard, Chris Williams","John Travolta, Miley Cyrus, Susie Essman, Mark Walton, Malcolm McDowell, James Lipton, Greg Germann, Diedrich Bader, Nick Swardson, J.P. Manoux, Dan Fogelman, Kari Wahlgren, Chloë Grace Moretz, Randy Savage, Ronn Moss, John DiMaggio, Daran Norris, Jeff Bennett, Brian Stepanek, Todd Cummings",United States,2008,PG,99 min,"Children & Family Movies, Comedies"
Movie,Bomb Scared,Borja Cobeaga,"Javier Cámara, Julián López, Miren Ibarguren, Gorka Otxoa, Tina Sáinz, Ramón Barea",Spain,2017,TV-MA,89 min,"Comedies, Independent Movies, International Movies"
Movie,Bombairiya,Pia Sukanya,"Radhika Apte, Siddhant Kapoor, Akshay Oberoi, Adil Hussain, Amit Sial, Ravi Kishan, Ajinkya Deo, Shilpa Shukla","United Arab Emirates, United Kingdom, India",2018,TV-MA,108 min,"Comedies, Dramas, International Movies"
Movie,Bombay Talkies,"Anurag Kashyap, Dibakar Banerjee, Karan Johar, Zoya Akhtar","Rani Mukerji, Randeep Hooda, Saqib Saleem, Nawazuddin Siddiqui, Sadashiv Amrapurkar, Amitabh Bachchan, Ranvir Shorey, Katrina Kaif, Diana Penty",India,2013,TV-MA,123 min,"Dramas, International Movies"
Movie,Bombshell,Riccardo Pilizzeri,"Ande Cunningham, Mark Mitchinson, Mia Pistorius, Nathalie Boltt, Nathan Lovejoy, Colin Moy, Jay Simon, Coen Falke, Greta Gregory, Byron Coll",New Zealand,2016,TV-MA,86 min,Dramas
Movie,Bombshell: The Hedy Lamarr Story,Alexandra Dean,Hedy Lamarr,United States,2017,TV-14,89 min,Documentaries
Movie,Bon Bini Holland,Jelle de Jonge,"Jandino Asporaat, Liliana de Vries, Teun Kuilboer, Sergio IJssel, Dennis Rudge, Alpha Oumar Barry, Phi Nguyen",Netherlands,2015,TV-MA,88 min,"Comedies, International Movies"
Movie,Bon Cop Bad Cop 2,Alain Desrochers,"Patrick Huard, Colm Feore, Marc Beaupré, Noam Jenkins, Andreas Apergis, Mariana Mazza, Erik Knudsen, Sarah-Jeanne Labrosse, Lucie Laurier, Neil Crone, Catherine St-Laurent",Canada,2017,TV-MA,126 min,"Action & Adventure, Comedies, International Movies"
Movie,"Bon Cop, Bad Cop",Erik Canuel,"Patrick Huard, Colm Feore, Sylvain Marcel, Lucie Laurier, Pierre Lebeau, Ron Lea, Sarain Boylan, Louis-José Houde",Canada,2006,TV-MA,117 min,"Action & Adventure, Comedies, International Movies"
TV Show,Bondi Rescue,,"Andrew Günsberg, Dean Gladstone, Bruce Hopkins, Trent 'Maxi' Maxwell, Andrew Reid, Ryan Clark, Chris Chapman, Anthony 'Harries' Caroll",Australia,2016,TV-PG,1 Season,Reality TV
TV Show,BONDING,,"Zoe Levin, Brendan Scannell, Micah Stock, Theo Stockman, Alex Hurt, D'Arcy Carden, Gabrielle Ryan, Charles Gould",United States,2019,TV-MA,1 Season,"TV Comedies, TV Dramas"
Movie,Bonnie and Clyde,Arthur Penn,"Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman, Estelle Parsons, Denver Pyle, Dub Taylor, Evans Evans, Gene Wilder",United States,1967,R,111 min,"Action & Adventure, Classic Movies, Dramas"
TV Show,Bonus Family,,"Vera Vitali, Erik Johansson, Fredrik Hallgren, Petra Mede, Frank Dorsin, Jacob Lundqvist, Amanda Lindh, Marianne Mörck, Barbro Svensson, Ann Petrén, Johan Ulveson, Leo Razzak, Felix Engström",Sweden,2019,TV-MA,3 Seasons,"International TV Shows, TV Dramas"
TV Show,Booba,,Roman Karev,Russia,2019,TV-Y7,3 Seasons,"Kids' TV, TV Comedies"
TV Show,Bookmarks,,Marley Dias,United States,2020,TV-Y,1 Season,Kids' TV
Movie,Boom,Kaizad Gustad,"Amitabh Bachchan, Gulshan Grover, Jackie Shroff, Javed Jaffrey, Katrina Kaif, Madhu Sapre, Padma Lakshmi, Seema Biswas, Zeenat Aman, Boman Irani",India,2003,TV-MA,79 min,"Action & Adventure, Dramas, International Movies"
TV Show,Border Patrol,,Timothy Balme,,2016,TV-PG,1 Season,Reality TV
TV Show,Border Security: America's Front Line,,,Canada,2018,TV-14,1 Season,"Crime TV Shows, International TV Shows, Reality TV"
TV Show,Borderline,,"David Avery, Jackie Clune, David Elms, Liz Kingsman, Jamie Michie",United Kingdom,2017,TV-14,2 Seasons,"British TV Shows, TV Comedies"
TV Show,Borderliner,,"Tobias Santelmann, Ellen Dorrit Petersen, Benjamin Helstad, Frode Winther, Bjørn Skagestad, Eivind Sander, Thelma Farnes Ottersen, Todd Bishop Monrad Vistven, Ole Christoffer Ertvaag, Marina Popovic, Gine Cornelia Pedersen, Ana Gil de Melo Nascimento, Kim-Henning Nilsen, Morten Svartveit, Ellen Birgitte Winther, Even Pedersen","Norway, Germany, Sweden",2017,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
TV Show,Bordertown,,"Ville Virtanen, Matleena Kuusniemi, Anu Sinisalo, Lenita Susi, Kristiina Halttu, Olivia Ainali, Ilkka Villi, Max Bremer, Matti Laine, Jasmin Hamid","Finland, France",2019,TV-MA,3 Seasons,"Crime TV Shows, International TV Shows, TV Dramas"
TV Show,Borgen,,"Sidse Babett Knudsen, Birgitte Hjort Sørensen, Pilou Asbæk, Emil Poulsen, Freja Riemann, Søren Malling, Thomas Levin, Benedikte Hansen, Mikael Birkkjær, Anders Juul, Lisbeth Wulff, Kasper Lange, Lars Knutzon, Søren Spanning, Christoph Bastrup, Morten Kirkskov, Bjarne Henriksen, Peter Mygind, Ole Thestrup, Iben Dorner, Dar Salim, Jens Albinus, Christian Tafdrup, Alastair Mackenzie, Julie Agnete Vang, Kristian Halken, Ricard Lawrence, Marie Askehave, Rikke Lylloff, Mille Dinesen, Anne Sofie Espersen",Denmark,2012,TV-MA,3 Seasons,"International TV Shows, TV Dramas"
TV Show,Borges,,"Thati Lopes, Antonio Pedro Tabet, Karina Ramil, Rafael Portugal, Luis Lobianco",Brazil,2018,TV-MA,1 Season,"International TV Shows, TV Comedies"
Movie,Born Beautiful,Perci Intalan,"Martin del Rosario, Lou Veloso, Chai Fonacier, Kiko Matos, Akihiro Blanco, Paolo Ballesteros",Philippines,2019,TV-MA,96 min,"Comedies, Dramas, International Movies"
Movie,Born in Gaza,Hernán Zin,,Spain,2014,TV-14,70 min,"Documentaries, International Movies"
Movie,Born in Syria,Hernán Zin,,"Denmark, Spain",2016,TV-14,87 min,"Documentaries, International Movies"
Movie,Born Racer,Bryn Evans,Scott Dixon,New Zealand,2018,R,89 min,"Documentaries, Sports Movies"
Movie,Born Strong,"Gary Cohen, Ross Hockrow","Eddie Hall, Hafþór Júlíus Björnsson, Brian Shaw, Zydrunas Savickas",United States,2017,TV-MA,86 min,"Documentaries, Sports Movies"
Movie,Born to Be Free,Gayane Petrosyan,"Casting a light on the mistreatment of sea mammals, this documentary follows the plight of 18 Beluga whales kept in captivity for years.","United Kingdom, Russia",2016,TV-14,74 min,"Documentaries, International Movies"
Movie,Boss,Anthony D'Souza,"Akshay Kumar, Ronit Roy, Shiv Pandit, Mithun Chakraborty, Johny Lever, Aditi Rao Hydari, Danny Denzongpa, Govind Namdeo, Parikshat Sahni, Aakash Dabhade",India,2013,TV-14,139 min,"Action & Adventure, Comedies, Dramas"
Movie,Bosta,Philippe Aractingi,"Rodney El Haddad, Nadine Labaky, Nada Abou Farhat, Liliane Nemri, Omar Rajeh, Mounir Malaeb, Bshara Atallah, Rana Alamuddin, Joelle Rizk, Mahfouz Barakat, Mahmoud Mabsout, Bader Haddad, Youssef Emalhoub",Lebanon,2005,TV-14,112 min,"Dramas, International Movies, Music & Musicals"
TV Show,Botched Up Bodies,,"Charlie Brooks, Sue Johnston",United Kingdom,2013,TV-MA,1 Season,"British TV Shows, Docuseries, International TV Shows"
TV Show,Bottersnikes & Gumbles,,"Jason Callender, Kathryn Drysdale, Akiya Henry, Jeff Rawle, Richard Grieve, Simone Craddock, Alex Babic, Miriam Margolyes","United States, United Kingdom, Australia",2017,TV-Y7,2 Seasons,"British TV Shows, Kids' TV"
Movie,Bottom of the World,Richard Sears,"Jena Malone, Douglas Smith, Ted Levine, Tamara Duarte, Kelly Pendygraft, Mark Sivertsen, Jon McLaren","Canada, United States",2017,TV-MA,84 min,"Dramas, Independent Movies, Thrillers"
TV Show,Bountiful Blessings,,"Jessica Hsuan, Tay Ping Hui, Thomas Ong, Jeffrey Xu, Ya Hui, Ann Kok, Zhu Houren, Yao Wenlong",Singapore,2011,TV-14,1 Season,"International TV Shows, TV Dramas, TV Sci-Fi & Fantasy"
Movie,Boushkash,"Ahmed Yousry, Hazem Fouda","Mohamed Saad, Zeina, Ezzat Abou Aouf, Edward, Hassan Hosny, Ahmed Rateb, Hamdi el Sakhawy, Safaa El-Toukhy",Egypt,2008,TV-MA,100 min,"Comedies, International Movies"
Movie,Boy and the World,Alê Abreu,"Vinícius Garcia, Felipe Zilse, Alê Abreu, Lu Horta, Marco Aurélio Campos, Cassius Romero, Alfredo Rollo",Brazil,2013,PG,80 min,Children & Family Movies
Movie,Boy Bye,Chris Stokes,"Wendy Raquel Robinson, Ross Fleming, Shondrella Avery, Tammy Townsend, Omar Gooding, Tracy Davis, Veronika Bozeman, Kelly Perine, Valarie Pettiford",United States,2016,TV-MA,86 min,"Comedies, Romantic Movies"
Movie,Boy Missing,Mar Targarona,"Blanca Portillo, Antonio Dechent, Vicente Romero, Marc Domènech, Nausicaa Bonnín, Andrés Herrera, José Coronado, Macarena Gómez, Paco Manzanedo, Sergi Subirà",Spain,2016,TV-MA,105 min,"International Movies, Thrillers"
Movie,Boyka: Undisputed,Todor Chapkanov,"Scott Adkins, Teodora Duhovnikova, Alon Aboutboul, Julian Vergov, Brahim Achabbakhe, Paul Chahidi, Petio Petkov, Valentin Ganev, Vlado Mihailov","Bulgaria, United States",2016,R,90 min,Action & Adventure
TV Show,Boys Over Flowers,,"Ku Hye-sun, Lee Min-ho, Kim Hyun-joong, Kim Bum, Kim Joon, Kim So-eun, Lee Hye-yeong, Park Ji-bin, Lim Ye-jin, Jeong Ho-bin",South Korea,2009,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
Movie,Brad Paisley's Comedy Rodeo,Jay Chapman,"Brad Paisley, Nate Bargatze, John Heffron, Jon Reep, Sarah Tiana, Mike E. Winfield",United States,2017,TV-MA,63 min,Stand-Up Comedy
Movie,Brahman Naman,Qaushiq Mukherjee,"Shashank Arora, Tanmay Dhanania, Chaitanya Varad, Vaishwath Shankar, Sindhu Sreenivasa Murthy, Sid Mallya, Denzil Smith","India, United Kingdom",2016,TV-MA,96 min,"Comedies, Independent Movies, International Movies"
TV Show,Brain Games,,Jason Silva,United States,2016,TV-G,3 Seasons,"Docuseries, Science & Nature TV"
Movie,Brain on Fire,Gerard Barrett,"Chloë Grace Moretz, Thomas Mann, Richard Armitage, Jenny Slate, Carrie-Anne Moss, Tyler Perry, Alex Zahara","United States, Canada, Ireland",2016,PG-13,89 min,"Dramas, Independent Movies, International Movies"
TV Show,Brainchild,,"Sahana Srinivasan, Alie Ward, Ben Seidman",,2018,TV-G,1 Season,Kids' TV
Movie,Brampton's Own,Michael Doneger,"Alex Russell, Rose McIver, Jean Smart, Scott Porter, Kevin Linehan, Spencer Grammer, Carter Hastings, Riley Voelkel, John Getz",United States,2018,TV-MA,90 min,"Dramas, Romantic Movies, Sports Movies"
Movie,Bratz: The Movie,Sean McNamara,"Logan Browning, Janel Parrish, Nathalia Ramos, Skyler Shaye, Chelsea Kane",United States,2007,PG,102 min,"Children & Family Movies, Comedies"
Movie,Brave Blue World: Racing to Solve Our Water Crisis,Tim Neeves,"Liam Neeson, Matt Damon, Jaden Smith","Canada, United Kingdom",2020,TV-PG,51 min,"Documentaries, International Movies"
TV Show,Brave Miss World,Cecilia Peck,Linor Abargil,"United States, Israel, Italy, South Africa",2013,TV-14,1 Season,"Crime TV Shows, Docuseries"
Movie,Brave New Jersey,Jody Lambert,"Tony Hale, Anna Camp, Sam Jaeger, Heather Burns, Dan Bakkedahl, Raymond J. Barry, Erika Alexander, Mel Rodriguez, Evan Jonigkeit, Grace Kaufman",United States,2016,TV-MA,92 min,"Comedies, Independent Movies"
Movie,Braven,Lin Oeding,"Jason Momoa, Garret Dillahunt, Jill Wagner, Stephen Lang, Sasha Rosoff, Sala Baker, Fraser Aitcheson, Teach Grant, Glenn Ennis, Todd Scott, Zahn McClarnon, Brendan Fletcher",Canada,2018,R,94 min,Action & Adventure
TV Show,Braxton Family Values,,"Toni Braxton, Trina Braxton, Traci Braxton, Towanda Braxton, Tamar Braxton",United States,2014,TV-PG,2 Seasons,Reality TV
TV Show,Bread Barbershop,,"Um Sang-hyun, Park Yoon-hee, Kang Shi-hyun, Hong Bum-ki, Kim Hyun-wook, Lee In-suk, Song Ha-rim",,2020,TV-Y,1 Season,"Kids' TV, TV Comedies"
Movie,Break,Marc Fouchard,"Sabrina Ouazani, Kévin Mischel, Hassam Ghancy, Slimane, Maxime Pambet, Camille Japy, Christophe Reymond","France, Belgium",2018,TV-MA,96 min,"Comedies, Dramas, International Movies"
TV Show,BREAK IT ALL: The History of Rock in Latin America,Picky Talarico,,,2020,TV-MA,1 Season,"Docuseries, Spanish-Language TV Shows"
Movie,Break Ke Baad,Danish Aslam,"Imran Khan, Deepika Padukone, Shahana Goswami, Lillete Dubey, Sharmila Tagore, Navin Nischol, Parzan Dastur, Neelu Kohli, Ziyah Vastani, Yudhishtir Urs, Grady McGahan",India,2010,TV-14,108 min,"Comedies, International Movies, Music & Musicals"
Movie,Break Up 100,Lawrence Cheng,"Ekin Cheng, Chrissie Chow, Ivana Wong, Jase Ho, Alex Lam, Wen Xin, Miriam Chin Wah Yeung, Eric Kot, Kar Lok Chin",Hong Kong,2014,TV-14,105 min,"Comedies, International Movies, Romantic Movies"
TV Show,"Breakfast, Lunch & Dinner",,"David Chang, Seth Rogen, Chrissy Teigen, Lena Waithe, Kate McKinnon",United States,2019,TV-MA,1 Season,Docuseries
TV Show,Breaking Bad,,"Bryan Cranston, Aaron Paul, Anna Gunn, Dean Norris, Betsy Brandt, R.J. Mitte, Bob Odenkirk, Steven Michael Quezada, Jonathan Banks, Giancarlo Esposito",United States,2013,TV-MA,5 Seasons,"Crime TV Shows, TV Dramas, TV Thrillers"
Movie,Breaking Free,Sridhar Rangayan,Sridhar Rangayan,India,2015,TV-MA,81 min,"Documentaries, International Movies, LGBTQ Movies"
Movie,Breaking the Bank,Vadim Jean,"Kelsey Grammer, Tamsin Greig, John Michael Higgins, Mathew Horne, Pearce Quigley, Togo Igawa, Sonya Cassidy, Julie Dray, Danny Morgan, Andrew Sachs",United Kingdom,2014,TV-PG,105 min,"Comedies, International Movies"
TV Show,Breakout,,"Jeanette Aw, Elvin Ng, Zhou Ying, Christopher Lee, Dai Xiangyu, Guo Liang",,2010,TV-14,1 Season,"International TV Shows, TV Dramas"
Movie,Breath,Simon Baker,"Samson Coulter, Ben Spence, Simon Baker, Elizabeth Debicki, Richard Roxburgh, Rachael Blake, Jacek Koman",Australia,2018,TV-MA,116 min,"Dramas, Sports Movies"
Movie,Brené Brown: The Call to Courage,Sandra Restrepo,Brené Brown,,2019,TV-14,77 min,Documentaries
TV Show,Brews Brothers,,"Alan Aisenberg, Mike Castle, Carmen Flood, Marques Ray",United States,2020,TV-MA,1 Season,TV Comedies
Movie,Brian Regan: Nunchucks and Flamethrowers,Troy Miller,Brian Regan,United States,2017,TV-PG,61 min,Stand-Up Comedy
Movie,Brick,Rian Johnson,"Joseph Gordon-Levitt, Nora Zehetner, Lukas Haas, Noah Fleiss, Matt O'Leary, Emilie de Ravin, Noah Segan, Richard Roundtree, Meagan Good, Brian White",United States,2005,R,110 min,"Independent Movies, Thrillers"
Movie,Bride For Rent,Mae Czarina Cruz,"Kim Chiu, Xian Lim, Empoy Marquez, Martin del Rosario, Pilita Corrales, Tirso Cruz III, Dennis Padilla, Matt Evans, Lloyd Zaragoza, Zeppi Borromeo",Philippines,2014,TV-PG,110 min,"Comedies, International Movies, Romantic Movies"
Movie,Bridezilla,Andibachtiar Yusuf,"Jessica Mila, Rio Dewanto, Sheila Dara, Rafael Tan, Widyawati, Aimee Saras, Rukman Rosadi, Lucinta Luna",Indonesia,2019,TV-MA,94 min,"Comedies, Dramas, International Movies"
TV Show,Bridgerton,,"Adjoa Andoh, Julie Andrews, Lorraine Ashbourne, Jonathan Bailey, Ruby Barker, Sabrina Bartlett, Harriet Cains, Bessie Carter, Nicola Coughlan, Phoebe Dynevor, Ruth Gemmell, Florence Hunt, Claudia Jessie, Ben Miller, Luke Newton, Regé-Jean Page, Golda Rosheuvel, Luke Thompson, Will Tilston, Polly Walker",United States,2020,TV-MA,1 Season,"Romantic TV Shows, TV Dramas"
Movie,Bridget Christie: Stand Up for Her,,Bridget Christie,United Kingdom,2016,TV-MA,51 min,Stand-Up Comedy
Movie,Bright,David Ayer,"Will Smith, Joel Edgerton, Noomi Rapace, Lucy Fry, Edgar Ramírez, Ike Barinholtz, Brad William Henke, Enrique Murciano, Happy Anderson, Kenneth Choi, Andrea Navedo, Dawn Olivieri",United States,2017,TV-MA,118 min,"Action & Adventure, Sci-Fi & Fantasy"
TV Show,Bright: The Music Videos,David Ayer,"Bastille, Machine Gun Kelly, Bebe Rexha, X Ambassadors, Logic, Rag’n’Bone Man",,2017,TV-MA,1 Season,TV Shows
Movie,Brij Mohan Amar Rahe,Nikhil Nagesh Bhat,"Arjun Mathur, Nidhi Singh, Manav Vij, Sheetal Thakur, Sunny Hinduja, Yogendra Tikku, Vijayant Kohli",India,2018,TV-MA,100 min,"Comedies, Dramas, International Movies"
TV Show,"Bring It On, Ghost",Park Joon-hwa,"Taecyeon, Kim So-hyun, Kwon Yul, Kim Sang-ho, Kang Ki-young, Lee Da-wit, Kim Min-sang, Yun Seo-hyun",South Korea,2016,TV-14,1 Season,"International TV Shows, Korean TV Shows, Romantic TV Shows"
Movie,Bring It On: Worldwide Showdown,Robert Adetuyi,"Cristine Prosperi, Jordan Rodrigues, Gia Re, Sophie Vavasseur, Sven Ruygrok, Stephan Lee Benson, Natalie Walsh, Vivica A. Fox",United States,2017,PG-13,95 min,Comedies
TV Show,Bringing Sexy Back,,Samantha Armstrong,,2015,TV-14,1 Season,"International TV Shows, Reality TV"
TV Show,Broadchurch,,"David Tennant, Olivia Colman, Andrew Buchan, Jodie Whittaker, Arthur Darvill, Jonathan Bailey, Carolyn Pickles, Adam Wilson, Charlotte Beaumont, Simone McAullay, Tanya Franks, Pauline Quirke, Phoebe Waller-Bridge, Marianne Jean-Baptiste, Charlotte Rampling, Eve Myles, James D'Arcy, Susan Brown, Vicky McClure, Will Mellor, David Bradley",United Kingdom,2017,TV-MA,3 Seasons,"British TV Shows, Crime TV Shows, International TV Shows"
TV Show,Broken,,,United States,2019,TV-14,1 Season,Docuseries
TV Show,Bromance,,"Baron Chen, Megan Lai, Bii, Katie Chen, Sean Lee",Taiwan,2015,TV-PG,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies"
Movie,Brooklyn's Finest,Antoine Fuqua,"Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes, Will Patton, Lili Taylor, Michael Kenneth Williams, Brían F. O'Byrne, Shannon Kane, Ellen Barkin, Vincent D'Onofrio, Logan Marshall-Green",United States,2009,R,133 min,"Dramas, Thrillers"
Movie,Brother,Julien Abraham,"MHD, Darren Muselet, Aïssa Maïga, Jalil Lespert, Youssouf Gueye, Hiam Abbass, Lisette Malidor",France,2019,TV-MA,97 min,"Dramas, Independent Movies, International Movies"
Movie,Brother in Love,Onur Bilgetay,"Cem Gelinoğlu, Melis Babadag, Ege Kökenli, Müfit Kayacan, Lale Başar, Ali Erkazan, Özlem Çakar, Selen Domaç, Ferdi Sancar, Güven Hokna",Turkey,2019,TV-MA,110 min,"Comedies, International Movies, Romantic Movies"
Movie,Brother's Shadow,Todd S. Yellin,"Scott Cohen, Judd Hirsch, Susan Floyd, Elliot Korte, Ruben Santiago-Hudson, James Murtaugh, Ato Essandoh, Toby Poser, Diane Kagan, John Di Benedetto, Jerry Matz, Lisa Emery",United States,2006,TV-MA,90 min,"Dramas, Independent Movies"
TV Show,Brotherhood,,"Naruna Costa, Seu Jorge, Hermila Guedes, Lee Taylor, Danilo Grangheia, Wesley Guimarães, Pedro Wagner",Brazil,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Dramas"
Movie,Brotherhood of Blades II: The Infernal Battlefield,Lu Yang,"Chang Chen, Yang Mi, Zhang Yi, Lei Jiayin, Xin Zhilei, Shih Chieh King",China,2017,TV-MA,120 min,"Action & Adventure, International Movies"
Movie,Brothers,Karan Malhotra,"Akshay Kumar, Sidharth Malhotra, Jackie Shroff, Jacqueline Fernandez, Shefali Shah, Kulbhushan Kharbanda, Rajendranath Zutshi, Ashutosh Rana","India, United States",2015,TV-14,155 min,"Action & Adventure, Dramas, International Movies"
TV Show,Brown Nation,,"Rajeev Varma, Shenaz Treasury, Kapil Bawa, Remy Munasifi, Omi Vaidya, Melanie Chandra, Sana Serrai, Jonathan Horvath, Akaash Singh",United States,2016,TV-14,1 Season,TV Comedies
Movie,Bruno and Boots: Go Jump in the Pool,Vivieno Caldinelli,"Jonny Gray, Callan Potter, Peter Keleghan, Hannah Vandenbygaart, Kiana Madeira, Joshua Kilimnik, Drew Haytaoglu, Isiah Lea, Scott Thompson, Caroline Rhea",Canada,2016,TV-PG,91 min,"Children & Family Movies, Comedies"
Movie,Bruno and Boots: The Wizzle War,Vivieno Caldinelli,"Jonny Gray, Callan Potter, Matt Baram, Caroline Rhea, Kiana Madeira",Canada,2017,TV-PG,90 min,"Children & Family Movies, Comedies"
Movie,Bruno and Boots: This Can't Be Happening at Macdonald Hall,Vivieno Caldinelli,"Jonny Gray, Callan Potter, Peter Keleghan, Caroline Rhea",Canada,2017,TV-PG,90 min,"Children & Family Movies, Comedies"
Movie,Bucket List,Tejas Prabha Vijay Deoskar,"Madhuri Dixit, Sumeet Raghvan, Renuka Shahane, Milind Pathak, Vandana Gupte, Pradeep Velankar, Shubha Khote, Resham Tipnis",India,2018,TV-14,129 min,"Dramas, International Movies"
Movie,Budapest,Xavier Gens,"Manu Payet, Jonathan Cohen, Monsieur Poulpe, Alice Belaïdi, Alix Poisson","France, Belgium",2018,TV-MA,103 min,"Comedies, International Movies"
